date,fear_greed_index,news_sentiment_mean,news_sentiment_std,news_count,news21_24_sentiment_mean,news21_24_sentiment_std,news21_24_count
2018-02-17 04:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-17 08:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-17 12:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-17 16:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-17 20:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-18 00:00:00+00:00,63,-0.5,0.5773502691896257,4,0.0,0.0,0.0
2018-02-18 04:00:00+00:00,63,0.0,0.0,0,0.0,0.0,0.0
2018-02-18 08:00:00+00:00,63,0.0,0.0,0,0.0,0.0,0.0
2018-02-18 12:00:00+00:00,63,0.0,0.0,0,0.0,0.0,0.0
2018-02-18 16:00:00+00:00,63,0.0,0.0,0,0.0,0.0,0.0
2018-02-18 20:00:00+00:00,63,0.0,0.0,0,0.0,0.0,0.0
2018-02-19 00:00:00+00:00,67,0.16666666666666666,0.9831920802501751,6,0.0,0.0,0.0
2018-02-19 04:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-19 08:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-19 12:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-19 16:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-19 20:00:00+00:00,67,0.0,0.0,0,0.0,0.0,0.0
2018-02-20 00:00:00+00:00,74,0.2222222222222222,0.8333333333333334,9,0.0,0.0,0.0
2018-02-20 04:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-20 08:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-20 12:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-20 16:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-20 20:00:00+00:00,74,0.0,0.0,0,0.0,0.0,0.0
2018-02-21 00:00:00+00:00,54,-0.2222222222222222,0.8333333333333334,9,0.0,0.0,0.0
2018-02-21 04:00:00+00:00,54,0.0,0.0,0,0.0,0.0,0.0
2018-02-21 08:00:00+00:00,54,0.0,0.0,0,0.0,0.0,0.0
2018-02-21 12:00:00+00:00,54,0.0,0.0,0,0.0,0.0,0.0
2018-02-21 16:00:00+00:00,54,0.0,0.0,0,0.0,0.0,0.0
2018-02-21 20:00:00+00:00,54,0.0,0.0,0,0.0,0.0,0.0
2018-02-22 00:00:00+00:00,44,-0.3,0.6749485577105528,10,0.0,0.0,0.0
2018-02-22 04:00:00+00:00,44,0.0,0.0,0,0.0,0.0,0.0
2018-02-22 08:00:00+00:00,44,0.0,0.0,0,0.0,0.0,0.0
2018-02-22 12:00:00+00:00,44,0.0,0.0,0,0.0,0.0,0.0
2018-02-22 16:00:00+00:00,44,0.0,0.0,0,0.0,0.0,0.0
2018-02-22 20:00:00+00:00,44,0.0,0.0,0,0.0,0.0,0.0
2018-02-23 00:00:00+00:00,39,-0.2,0.4216370213557839,10,0.0,0.0,0.0
2018-02-23 04:00:00+00:00,39,0.0,0.0,0,0.0,0.0,0.0
2018-02-23 08:00:00+00:00,39,0.0,0.0,0,0.0,0.0,0.0
2018-02-23 12:00:00+00:00,39,0.0,0.0,0,0.0,0.0,0.0
2018-02-23 16:00:00+00:00,39,0.0,0.0,0,0.0,0.0,0.0
2018-02-23 20:00:00+00:00,39,0.0,0.0,0,0.0,0.0,0.0
2018-02-24 00:00:00+00:00,31,0.3333333333333333,0.5163977794943223,6,0.0,0.0,0.0
